id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,amenities,dist_to_mall
3344,"White House-Center City, entire 2BR/2BA Condo","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90145,-77.02679,Entire condo,Entire home/apt,2,1.0,3.0,150.0,10,5.0,"[""Hot water"", ""Elevator"", ""Paid parking on premises"", ""Fire extinguisher"", ""Smoke alarm"", ""Wifi"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Host greets you"", ""Books and reading material"", ""TV with standard cable"", ""Air conditioning"", ""Breakfast"", ""Shampoo"", ""Kitchen"", ""Exercise equipment"", ""First aid kit"", ""Iron"", ""Heating"", ""Gym"", ""Dryer""]",0.8438882589094501
3686,Vita's Hideaway,Historic Anacostia,38.86339,-76.98889,Private room in home,Private room,1,1.0,2.0,60.0,84,4.64,"[""Hot water"", ""Refrigerator"", ""Backyard"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hangers"", ""Essentials"", ""Washer"", ""Dishes and silverware"", ""Dishwasher"", ""Coffee maker"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Bed linens"", ""Carbon monoxide alarm"", ""Stove"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""First aid kit"", ""Heating"", ""Indoor fireplace"", ""Dryer""]",2.5752169140345735
3943,Historic Rowhouse Near Monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room in townhouse,Private room,2,1.0,1.0,79.0,546,4.86,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Baking sheet"", ""Free street parking"", ""Window AC unit"", ""Wifi"", ""Cooking basics"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Portable heater"", ""Central air conditioning"", ""Essentials"", ""Hot water kettle"", ""Smart lock"", ""Long term stays allowed"", ""Dishes and silverware"", ""Dining table"", ""Free washer \u2013 In unit"", ""Body soap"", ""Dishwasher"", ""Paid parking lot off premises"", ""Luggage dropoff allowed"", ""Shower gel"", ""Mosquito net"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Central heating"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Exterior security cameras on property"", ""First aid kit"", ""Iron"", ""Gas stove"", ""Exercise equipment: yoga mat"", ""Drying rack for clothing"", ""Coffee"", ""Clothing storage: wardrobe and dresser"", ""Conditioner"", ""Cleaning products""]",1.8314360180567397
4197,Capitol Hill Bedroom walk to Metro,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room in home,Private room,1,1.0,1.0,128.0,67,4.88,"[""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Coffee maker"", ""Fire pit"", ""Luggage dropoff allowed"", ""Shower gel"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Wifi \u2013 10 Mbps"", ""Bed linens"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Children\u2019s books and toys"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo"", ""31 inch HDTV with Amazon Prime Video, Netflix, DVD player"", ""Microwave"", ""Kitchen"", ""Oven"", ""Shared patio or balcony"", ""Outdoor dining area"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Heating"", ""Free washer \u2013 In building"", ""Frigidaire induction stove"", ""Lockbox"", ""Fireplace guards""]",1.5282977360778995
5589,Cozy apt in Adams Morgan,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire rental unit,Entire home/apt,3,1.0,1.0,87.0,96,4.5,"[""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Window guards"", ""Central air conditioning"", ""42 inch TV with Amazon Prime Video, Netflix, DVD player"", ""Essentials"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Coffee maker"", ""Board games"", ""Luggage dropoff allowed"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Private entrance"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Heating"", ""Whirlpool electric stove"", ""Ethernet connection"", ""Garden view"", ""Lockbox""]",2.2212812324623536
7103,Lovely guest suite in a quiet but close-in neighborhood,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire guest suite,Entire home/apt,2,1.0,2.0,74.0,91,4.79,"[""Ceiling fan"", ""Hot water"", ""Movie theater"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""36 inch TV with Amazon Prime Video, Netflix, Roku"", ""Central air conditioning"", ""Shared BBQ grill: gas"", ""Essentials"", ""Toaster"", ""Long term stays allowed"", ""Free parking on premises"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Body soap"", ""Coffee maker"", ""Barbecue utensils"", ""Kitchenette"", ""Luggage dropoff allowed"", ""Shower gel"", ""Books and reading material"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Central heating"", ""Dedicated workspace"", ""Clothing storage: walk-in closet"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Private entrance"", ""Wine glasses"", ""Outdoor dining area"", ""First aid kit"", ""Iron"", ""Free washer \u2013 In building"", ""Portable fans"", ""Single level home"", ""Garden view"", ""Drying rack for clothing"", ""Coffee"", ""Lockbox"", ""Conditioner"", ""Cleaning products""]",4.546014620426242
11785,Sanctuary near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire rental unit,Entire home/apt,4,1.0,3.0,90.0,416,4.59,"[""Hot water"", ""Freezer"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Baking sheet"", ""Cooking basics"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""GE electric stove"", ""Hot water kettle"", ""Toaster"", ""BBQ grill"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Host greets you"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Extra pillows and blankets"", ""Rice maker"", ""Dedicated workspace"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Microwave"", ""Oven"", ""32 inch TV with Fire TV"", ""Kitchen"", ""Wine glasses"", ""Private entrance"", ""Shared patio or balcony"", ""Clothing storage: walk-in closet and closet"", ""Outdoor dining area"", ""Bathtub"", ""Iron"", ""Heating"", ""Free washer \u2013 In building"", ""Drying rack for clothing"", ""Coffee"", ""Coffee maker: drip coffee maker"", ""Cleaning products""]",3.8136482568621033
12442,Peaches & Cream near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room in home,Private room,2,1.0,1.0,52.0,120,4.62,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Piano"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Baking sheet"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Hot water kettle"", ""BBQ grill"", ""Toaster"", ""TV"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Host greets you"", ""Dishwasher"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Rice maker"", ""Cleaning available during stay"", ""Dedicated workspace"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Shared patio or balcony"", ""Shared backyard \u2013 Not fully fenced"", ""Outdoor dining area"", ""Iron"", ""Heating"", ""Clothing storage: closet and dresser"", ""Free washer \u2013 In building"", ""Viking gas stove"", ""Drying rack for clothing"", ""Coffee maker: drip coffee maker"", ""Fireplace guards"", ""Cleaning products""]",3.905768852672442
13744,"Heart of the City -HalfBlock to METRO, Restaurants","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire rental unit,Entire home/apt,2,1.0,2.0,125.0,38,4.84,"[""Hot water"", ""Paid parking on premises"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Host greets you"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""TV with standard cable"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Stove"", ""Shampoo"", ""Microwave"", ""Kitchen"", ""First aid kit"", ""Iron"", ""Heating"", ""Pets allowed"", ""Dryer""]",2.7122937658102284
14218,Quiet Comfort near Nat'l Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room in home,Private room,2,1.0,1.0,64.0,106,4.62,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Piano"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Baking sheet"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Hot water kettle"", ""BBQ grill"", ""Toaster"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Host greets you"", ""Dishwasher"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Rice maker"", ""Dedicated workspace"", ""TV with standard cable"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Stove"", ""Outdoor furniture"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Shared patio or balcony"", ""Shared backyard \u2013 Not fully fenced"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Iron"", ""Heating"", ""Free washer \u2013 In building"", ""Clothing storage: closet, wardrobe, and dresser"", ""Coffee maker: drip coffee maker"", ""Cleaning products""]",3.8730315690002914
